lat,lon,avg(wind_speed)_x,avg(temp)_x,avg(wind_speed)_y,avg(temp)_y,gap_temp,gap_wind
-90000.0,0.0,44.61857631253664,-413.5801058446893,64.44530666118814,-467.8197901514273,-54.23968430673801,19.826730348651502
-78450.0,106867.0,108.7193784488847,-546.308764615855,47.273293542675546,-540.6880006793805,5.620763936474532,-61.44608490620915
-77867.0,-34617.0,42.1980802209068,-126.10604088406012,54.914973042399026,-132.5117760111594,-6.405735127099291,12.716892821492223
-77850.0,166667.0,52.09636555621109,-146.66920837444314,46.72199351932574,-141.85033624710698,4.818872127336164,-5.374372036885347
-75500.0,-26650.0,67.98306177865442,-178.69270839360772,63.532226350033014,-180.0269837378591,-1.334275344251381,-4.450835428621403
-71333.0,-68350.0,38.56401649123359,-31.64152317209223,40.31937287715012,-76.00292383887101,-44.36140066677878,1.755356385916535
-70767.0,11833.0,196.03488554837836,-99.48108241810901,116.87480510221594,-101.53370940249114,-2.0526269843821296,-79.16008044616241
-69500.0,159383.0,160.44226748159272,-141.96465218016203,26.29556878306878,-42.73359788359788,99.23105429656415,-134.14669869852395
-69400.0,76400.0,74.43981500148323,-103.87293214081026,33.08491627473381,-74.03938341713413,29.83354872367613,-41.35489872674942
-69000.0,39583.0,72.94898346496183,-103.30441574373998,67.7578419780727,-106.61606986153377,-3.3116541177937933,-5.191141486889123
-68567.0,77950.0,45.98319702002938,-81.42894601452197,56.788304959289405,-110.4019245003701,-28.97297848584813,10.805107939260026
-68133.0,-67133.0,52.18750411230317,-52.427306658062626,67.31723237597912,-47.99608355091384,4.431223107148789,15.129728263675943
-67600.0,62867.0,85.59450392687447,-90.03639570415544,122.0159022303501,-110.93373722030371,-20.897341516148273,36.42139830347563
-67567.0,-68133.0,60.32354217675798,-43.15278647932088,64.20900731391329,-40.40715834470404,2.745628134616844,3.8854651371553075
-66667.0,140017.0,94.49081349313565,-104.47855741497638,84.82503264836328,-110.26118736727858,-5.782629952302202,-9.665780844772371
-66550.0,93017.0,201.35933842176965,-110.90153964243848,57.85756420155111,-108.85126735662324,2.0502722858152396,-143.50177422021855
-65250.0,-64267.0,40.55293528939595,-31.19597775326462,50.54933751866641,-20.52634073824711,10.66963701501751,9.996402229270466
-64767.0,-64083.0,49.878602782494085,-18.05732777143732,51.30245912277195,-13.413078822427545,4.644248949009773,1.4238563402778652
-64233.0,-56717.0,98.1221081880122,-83.00780418599479,81.95568326503665,-83.04860719920201,-0.040803013207224126,-16.16642492297555
-63400.0,-56983.0,77.7187563637494,-48.04120124725165,69.33172347473773,-46.94098936382849,1.1002118834231567,-8.387032889011678
-63317.0,-57900.0,57.96935233377164,-36.93131521982998,68.99122462297622,-33.84808464736594,3.0832305724640463,11.02187228920458
-62667.0,-60383.0,30.528846153846153,26.94230769230769,32.66545389484177,21.405018951982083,-5.537288740325607,2.136607740995615
-62500.0,-59683.0,60.52814799947872,-23.42128839102628,64.39912184046479,-20.589821773001177,2.831466618025104,3.8709738409860677
-62233.0,-58633.0,77.9268861469689,-19.351067771835435,89.33104750031204,-16.848512306153964,2.5025554656814712,11.404161353343142
-62217.0,-58967.0,80.9857676985254,-19.17773219882165,75.54104767925868,-20.252404934841476,-1.0746727360198243,-5.444720019266711
-62200.0,-58933.0,132.74072670722325,-23.581534366162163,53.60566122156276,-21.4862221244545,2.0953122417076635,-79.13506548566048
-62167.0,-58833.0,90.67784561560526,-32.77613083205556,78.9837037037037,-21.472592592592594,11.303538239462963,-11.694141911901568
-60750.0,-44717.0,58.3291729059606,-17.475531397502,65.04768041237114,-22.436855670103093,-4.961324272601093,6.718507506410539
-60733.0,-44733.0,62.99534389684165,-30.251071051387004,64.7649484956313,-31.934427342012793,-1.6833562906257882,1.7696045987896483
-56600.0,-68717.0,83.9073615340488,56.51900996715775,109.8112696423407,63.02208618528873,6.503076218130978,25.9039081082919
-54800.0,-68317.0,42.40139763975544,70.95442352426238,55.66931882408849,56.955609173985955,-13.998814350276426,13.267921184333055
-54500.0,158950.0,91.43015452299298,52.439385450983444,102.35528691248251,51.66765203588559,-0.7717334150978559,10.925132389489534
-54483.0,158933.0,94.22155203975487,51.47674834852644,101.65212355212357,41.35173745173745,-10.125010896788993,7.430571512368701
-54267.0,-36500.0,35.608431333598396,15.354542080677197,47.08118000744842,16.973568510972942,1.6190264302957456,11.47274867385002
-53800.0,-67750.0,62.775705470861276,59.67565865844059,59.25,47.25,-12.42565865844059,-3.5257054708612756
-53000.0,-70850.0,80.5467599921644,72.74629496907005,59.29313467666314,67.86434460695087,-4.881950362119184,-21.253625315501253
-52550.0,169150.0,85.23497605072728,74.88032352703699,84.69540162553672,74.42798093968125,-0.4523425873557443,-0.5395744251905654
-52400.0,-75100.0,105.50208143906673,73.18535294833204,100.02619238044203,70.82561716854521,-2.3597357797868312,-5.475889058624702
-52333.0,-68350.0,63.407137549803416,53.13640260737541,12.5,185.75,132.6135973926246,-50.907137549803416
-51817.0,-58450.0,82.363823013754,72.5785592490804,73.91743914479234,60.94233754614812,-11.636221702932282,-8.44638386896166
-51683.0,-72517.0,54.72335557081778,89.70941689782649,42.22222222222222,43.22222222222222,-46.487194675604265,-12.501133348595559
-51617.0,-69283.0,82.88337089515204,84.1617031447524,65.221984014799,83.29352462750059,-0.8681785172518062,-17.661386880353035
-49350.0,70250.0,102.25729340782684,48.272936183519775,103.62509102413269,44.54217456751875,-3.7307616160010255,1.3677976163058503
-49317.0,-67783.0,89.01528335019685,124.58908865584013,86.84942027897901,114.44127557385815,-10.14781308198198,-2.165863071217842
